tau;amplptb;seed;omega_m_m_2;sigma_ksi;mu_m_m;intptb;omega_b_2;mu_g;wmin;type;mu_b;sigma_e;rateptb;omega_m_e_2;rho_t;mu_m_e;mu_m_g;omega_m_g_2;int_t0;rate_t0;ampl_t0;sdmu;omega2;generation;epsilon;nsurv;ksi;meanz;varz;meang;varg;meanm_m;varm_m;meanm_g;varm_g;meanm_e;varm_e;meanb;varb;file
0.25;2;58085125;100;0.01;0;0;100;0.01;0;three_types;0;1;0;100;0;0;0;100;0;0;2;0.02;0.7;50000;-0.00561875;3072;-0.00201969;-0.00659426;1.15207;0.00715607;0.122374;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_205920_889802482
0.75;2;38205976;100;0.01;0;0;100;0.01;0;three_types;0;1;0;100;0;0;0;100;0;0;2;0.02;0.7;50000;0.0122232;3108;-0.00459674;-0.017662;1.12306;-0.00524228;0.120911;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_212155_23881819
0.25;2;679959640;100;0.01;0;0;100;0.01;0;three_types;0;1;0;100;0;0;0;100;0;0;2;0.02;40;50000;-0.0117148;4906;0.00711314;0.042656;1.48591;0.0517675;0.485273;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_213919_665748283
0.75;2;818070331;100;0.01;0;0;100;0.01;0;three_types;0;1;0;100;0;0;0;100;0;0;2;0.02;40;50000;-0.0207266;4895;-0.00936286;0.0649895;1.52191;0.0504363;0.530488;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_215858_792042225
0.25;2;957078837;100;0.01;0;0;100;0.01;0;three_types;0;1;0.10472;100;0;0;0;100;0;0.10472;2;0.02;0.7;50000;1.61651;2599;0.0109456;0.974159;1.11693;0.976135;0.108531;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_221643_942650309
0.75;2;222054977;100;0.01;0;0;100;0.01;0;three_types;0;1;0.10472;100;0;0;0;100;0;0.10472;2;0.02;0.7;50000;1.62647;2581;-0.00189701;1.0284;1.119;1.01556;0.125961;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_223309_207765238
0.25;2;369953347;100;0.01;0;0;100;0.01;0;three_types;0;1;0.10472;100;0;0;0;100;0;0.10472;2;0.02;40;50000;1.6227;4731;-0.00724116;0.017435;1.5269;0.042722;0.490438;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_225307_355763650
0.75;2;172639050;100;0.01;0;0;100;0.01;0;three_types;0;1;0.10472;100;0;0;0;100;0;0.10472;2;0.02;40;50000;1.61724;4756;-0.00300639;0.108193;1.40807;0.104138;0.434032;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_231036_158077955
0.25;2;667860829;100;0.01;0;0;100;0.01;0;three_types;0;1;0.20944;100;0;0;0;100;0;0.20944;2;0.02;0.7;50000;-1.90876;1087;-0.00177893;0.0784228;1.10676;0.0527751;0.132577;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_232646_653394403
0.75;2;487603119;100;0.01;0;0;100;0.01;0;three_types;0;1;0.20944;100;0;0;0;100;0;0.20944;2;0.02;0.7;50000;-1.87713;1112;0.00368654;0.0546675;1.08091;0.0806825;0.110458;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_7_11_2016_235227_473118828
