tau;amplptb;seed;omega_m_m_2;sigma_ksi;mu_m_m;intptb;omega_b_2;mu_g;wmin;type;mu_b;sigma_e;rateptb;omega_m_e_2;rho_t;mu_m_e;mu_m_g;omega_m_g_2;int_t0;rate_t0;ampl_t0;sdmu;omega2;generation;epsilon;nsurv;ksi;meanz;varz;meang;varg;meanm_m;varm_m;meanm_g;varm_g;meanm_e;varm_e;meanb;varb;file
0.25;2;221897026;100;0.01;0;-6;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;10000;-7.58586;1087;0.0131873;-0.127553;1.10757;-0.144219;0.115501;0;0;0;0;0;0;0;0;./core_0/sim_evolving_m_11_11_2016_122132_193250175
0.25;2;206421004;100;0.01;0;-5.6;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;10000;-7.1818;1089;0.00752398;-0.123529;1.1193;-0.116117;0.114506;0;0;0;0;0;0;0;0;./core_1/sim_evolving_m_11_11_2016_122132_191861513
0.25;2;232850083;100;0.01;0;-5.2;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;10000;-6.78548;1090;0.00124222;-0.138547;1.10285;-0.134396;0.114924;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_11_11_2016_122132_202772684
0.25;2;495770237;100;0.01;0;-4.8;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;10000;-6.37822;975;-0.00317052;-0.086587;1.13881;-0.0764443;0.101351;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_11_11_2016_122148_243134969
0.25;2;421143330;100;0.01;0;-4.4;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;10000;-5.98694;1154;0.00282525;-0.154044;1.15526;-0.152685;0.122956;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_11_11_2016_122148_259410006
0.25;2;638487428;100;0.01;0;-4;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;50000;-4.57879;2030;0.00864116;-4.20438;1.11061;-4.22712;0.109355;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_11_11_2016_122148_263649044
0.25;2;606037441;100;0.01;0;-3.6;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;50000;-4.18078;2032;-0.00930909;-3.84273;1.10787;-3.85274;0.116921;0;0;0;0;0;0;0;0;./core_6/sim_evolving_m_11_11_2016_122148_245818361
0.25;2;462570897;100;0.01;0;-3.2;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;50000;-3.78282;1972;-0.00982623;-3.43456;1.11885;-3.43198;0.112457;0;0;0;0;0;0;0;0;./core_7/sim_evolving_m_11_11_2016_122148_260345003
0.25;2;301478832;100;0.01;0;-2.8;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;50000;-3.37948;2101;0.00138668;-3.07771;1.1403;-3.08755;0.115728;0;0;0;0;0;0;0;0;./core_8/sim_evolving_m_11_11_2016_122148_237488643
0.25;2;976366319;100;0.01;0;-2.4;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;50000;-2.99479;1998;-0.00266894;-2.65154;1.06554;-2.63176;0.10688;0;0;0;0;0;0;0;0;./core_9/sim_evolving_m_11_11_2016_122148_252790081
0.25;2;922714669;100;0.01;0;-2;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;50000;-2.60089;1906;-0.0035648;-2.22731;1.10752;-2.21794;0.1103;0;0;0;0;0;0;0;0;./core_10/sim_evolving_m_11_11_2016_122148_253155799
0.25;2;598491989;100;0.01;0;-1.6;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;50000;-2.18364;2001;0.00220357;-1.83393;1.11364;-1.82228;0.1111;0;0;0;0;0;0;0;0;./core_11/sim_evolving_m_11_11_2016_122148_260348734
0.25;2;624867097;100;0.01;0;-1.2;100;0.01;0;three_types;0;1;0.5;100;0;0;0;100;0;0.5;2;0.02;0.7;50000;-1.79266;1948;-0.0070318;-1.46245;1.11275;-1.45407;0.123914;0;0;0;0;0;0;0;0;./core_12/sim_evolving_m_11_11_2016_122148_263449534
